epoch,acc,loss,val_acc,val_loss
0,0.6871817492374384,1.1210759406882334,0.7483816892173811,0.84937275302095
1,0.842859574995585,0.5463146820375274,0.9120696325105363,0.3176393270484868
2,0.8702878250859286,0.45016544716181295,0.8265248226904239,0.5914392540963676
3,0.8822001413591061,0.40457354206381874,0.9499419729299194,0.17395324708568444
4,0.8906120216890808,0.3754176776667933,0.8720309477587195,0.438202085805508
5,0.8962689531713361,0.35708050034776845,0.960683430051281,0.13992397363765405
6,0.9014796242113654,0.33905170385586125,0.6858671824675387,1.3500246188780478
7,0.9037960512390624,0.3285211762102466,0.9655705996162272,0.12054491456758969
8,0.9070307945499476,0.31970171007600057,0.9609929078075672,0.13283667528114343
9,0.9078923609498899,0.3157172640182913,0.8591876208958973,0.4963049938673361
10,0.9102010493556906,0.3061514070922496,0.9437782076079948,0.2086645662643587
11,0.9270892985186299,0.24899455675965396,0.9689877498388136,0.11221798811686723
12,0.9322251628979585,0.22915746618464533,0.9759638942617666,0.0830268589340674
13,0.9339818297193976,0.22329804043142082,0.9772147001934236,0.08131438701713205
14,0.9360815753770494,0.2167629017485514,0.9476853642934066,0.18831154560058982
15,0.9369302440760862,0.21258346807234182,0.9776015473887815,0.07820923312119828
16,0.9376396176077426,0.2093329328503398,0.9760541586104244,0.08431586782137553
17,0.939197659841511,0.20579591567657055,0.9769825918792833,0.07907868259649442
18,0.9396748747624046,0.20295164139298716,0.9744165054895584,0.08708394228028606
19,0.9406241455276428,0.20064745179084065,0.9765054803352675,0.08028566788526541
20,0.9415759958302331,0.19596608209443808,0.9748033526787675,0.08561327017464229
21,0.9418313703020723,0.19544893793750698,0.9795099935556212,0.072407253421771
22,0.9418932792661724,0.19339796190619887,0.9346744036167226,0.2296740146693224
23,0.942380812347852,0.19250628909902678,0.9578207608056329,0.14767217628922022
24,0.9438356729765293,0.18675597908335934,0.9721598968407479,0.09570050465784904
25,0.9441374791702135,0.1868277833148072,0.9341070277102143,0.22428985575027885
26,0.9441735927306577,0.18577585852435266,0.9751901998741254,0.08569408068516268
27,0.9448262163809134,0.1841670486693181,0.9788007736943907,0.07322385070890519
28,0.9451899315377752,0.1831328868346283,0.9781302385619193,0.07493948777977841
29,0.9457161577234011,0.1817431200750237,0.9785041908476908,0.07490089287725593
